TEAM,GP,G,Freq%,FGM,FGA,FG%,eFG%,2FG Freq%,2FGM,2FGA,2FG%,3FG Freq%,3PM,3PA,3P%
Los Angeles Lakers,82.0,82.0,100.0,41.9,84.2,49.8,54.6,73.5,33.8,61.9,54.7,26.5,8.1,22.3,36.4
Portland Trail Blazers,82.0,82.0,100.0,39.6,83.1,47.7,51.6,78.1,33.1,64.9,51.0,21.9,6.5,18.2,35.7
Houston Rockets,82.0,82.0,100.0,39.0,82.3,47.3,52.2,72.6,30.9,59.8,51.7,27.4,8.1,22.6,35.9
Minnesota Timberwolves,82.0,82.0,100.0,40.4,82.1,49.2,54.1,73.3,32.4,60.2,53.7,26.7,8.1,21.9,36.8
Philadelphia 76ers,82.0,82.0,100.0,40.0,81.0,49.4,55.0,70.2,31.0,56.8,54.6,29.8,9.0,24.1,37.3
Denver Nuggets,82.0,82.0,100.0,39.5,80.8,48.8,53.4,74.1,32.1,59.9,53.6,25.9,7.4,20.9,35.3
Los Angeles Clippers,82.0,82.0,100.0,37.4,80.0,46.8,51.3,72.9,30.2,58.3,51.7,27.1,7.3,21.7,33.4
San Antonio Spurs,82.0,82.0,100.0,37.7,80.0,47.2,51.2,77.3,31.3,61.8,50.7,22.7,6.5,18.2,35.5
Cleveland Cavaliers,82.0,82.0,100.0,37.7,79.8,47.3,53.2,68.3,28.4,54.5,52.2,31.7,9.3,25.3,36.9
Atlanta Hawks,81.0,81.0,100.0,38.4,79.4,48.4,53.3,72.7,30.5,57.7,52.9,27.3,7.9,21.7,36.3
Orlando Magic,82.0,82.0,100.0,38.1,79.3,48.0,53.1,72.9,30.1,57.8,52.0,27.1,8.0,21.5,37.2
Golden State Warriors,81.0,81.0,100.0,36.7,79.3,46.3,50.6,74.8,29.8,59.3,50.3,25.2,6.9,20.0,34.4
Phoenix Suns,82.0,82.0,100.0,38.0,78.8,48.3,52.6,75.0,31.2,59.0,52.9,25.0,6.8,19.7,34.4
Detroit Pistons,82.0,82.0,100.0,39.1,78.3,49.9,55.2,71.0,30.8,55.6,55.4,29.0,8.3,22.7,36.6
Charlotte Bobcats,81.0,81.0,100.0,36.9,78.3,47.1,52.3,72.2,28.8,56.5,51.0,27.8,8.1,21.8,37.2
Sacramento Kings,81.0,81.0,100.0,37.6,77.9,48.3,53.7,71.6,29.3,55.7,52.5,28.4,8.4,22.1,37.8
Oklahoma City Thunder,82.0,82.0,100.0,36.4,77.3,47.1,52.6,69.4,27.8,53.7,51.8,30.6,8.6,23.7,36.3
Indiana Pacers,82.0,82.0,100.0,34.8,77.3,45.0,49.2,75.5,28.2,58.3,48.4,24.5,6.6,19.0,34.6
Boston Celtics,82.0,82.0,100.0,37.8,77.2,49.0,53.2,75.6,31.2,58.4,53.5,24.4,6.6,18.8,34.9
Milwaukee Bucks,81.0,81.0,100.0,38.5,77.1,49.9,55.4,71.2,29.9,54.9,54.5,28.8,8.5,22.2,38.4
Dallas Mavericks,82.0,82.0,100.0,37.7,77.0,49.0,54.4,70.3,29.5,54.1,54.4,29.7,8.3,22.8,36.2
Utah Jazz,82.0,82.0,100.0,38.2,76.4,50.0,54.8,74.8,30.9,57.1,54.1,25.2,7.3,19.3,37.9
Washington Wizards,81.0,81.0,100.0,37.0,76.3,48.6,53.5,72.1,29.5,55.0,53.7,27.9,7.5,21.3,35.2
Chicago Bulls,82.0,82.0,100.0,34.9,75.8,46.0,50.3,75.7,28.4,57.4,49.4,24.3,6.5,18.4,35.5
Toronto Raptors,81.0,81.0,100.0,36.0,75.8,47.5,52.1,74.7,29.1,56.6,51.4,25.3,6.9,19.2,36.2
Brooklyn Nets,81.0,81.0,100.0,36.2,75.4,48.0,53.4,71.2,28.2,53.7,52.5,28.8,8.1,21.7,37.1
Memphis Grizzlies,82.0,82.0,100.0,35.6,74.7,47.7,52.7,72.2,28.1,53.9,52.1,27.8,7.5,20.7,36.2
Miami Heat,82.0,82.0,100.0,36.1,74.5,48.5,54.1,68.8,27.6,51.3,53.9,31.2,8.5,23.2,36.4
New Orleans Pelicans,82.0,82.0,100.0,37.2,73.7,50.6,56.0,70.1,29.3,51.7,56.7,29.9,8.0,22.0,36.1
New York Knicks,82.0,82.0,100.0,35.8,73.5,48.6,54.6,68.2,27.1,50.2,54.0,31.8,8.7,23.4,37.2
