,Yr,hs_wins,ls_wins,hs_team,ls_team,hs_seed,ls_seed
0,2023,0,0,Memphis Grizzlies,Los Angeles Lakers,2,7
1,2023,0,0,Boston Celtics,Atlanta Hawks,2,7
2,2023,0,0,Sacramento Kings,Golden State Warriors,3,6
3,2023,0,0,Philadelphia 76ers,Brooklyn Nets,3,6
4,2023,0,0,Phoenix Suns,Los Angeles Clippers,4,5
5,2023,0,0,Cleveland Cavaliers,New York Knicks,4,5
6,2023,0,0,Denver Nuggets,Minnesota Timberwolves,1,8
7,2023,0,0,Denver Nuggets,Oklahoma City Thunder,1,8
8,2023,0,0,Milwaukee Bucks,Miami Heat,1,8
9,2023,0,0,Milwaukee Bucks,Chicago Bulls,1,8
